,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,
15,58,58,117,50,-512.075,-514.982,-514.399,-515.134,-517.603,-518.494,-465.81,-453.944,-505.653,12.866,13.172,12.713,13.172,12.866,13.019,12.866,13.325,12.56,13.478,12.866,12.56,12.866,12.56,12.866,13.019,13.325,13.172,13.172,12.713,12.866,12.866,13.325,13.019,12.713,13.325,12.56,12.713,13.019,13.478,13.172,12.713,12.56,13.172,13.172,13.172,12.56,12.866,13.172,12.713,13.325,12.866,13.325,13.019,12.866,13.325,12.56,12.866,13.019,12.56,12.866,13.019,12.56,13.019,13.478,12.713,12.713,13.478,13.172,13.019,12.713,13.172,13.172,12.866,13.172,
16,58,58,132,51,-513.078,-515.283,-515.769,-516.053,-515.691,-516.767,-464.827,-453.265,-503.507,13.749,14.054,13.596,13.596,14.054,14.054,13.901,13.749,13.749,13.901,13.749,13.749,13.901,13.901,14.36,13.901,13.901,14.207,14.207,14.054,13.596,13.749,13.749,13.749,13.901,13.443,13.749,14.207,14.054,14.054,14.054,13.901,13.749,13.901,13.901,14.054,13.901,14.054,14.207,13.901,13.901,13.749,13.901,13.901,14.054,14.36,13.749,14.054,14.207,13.749,13.901,13.749,14.207,13.749,13.901,14.054,14.207,14.054,13.901,13.901,14.36,14.054,13.901,14.054,13.596,
17,58,58,131,51,-513.979,-516.016,-515.916,-515.885,-515.484,-514.681,-465.372,-453.811,-505.025,13.033,13.339,13.033,12.88,13.186,13.033,13.033,12.88,12.88,13.186,12.88,12.88,12.88,13.339,13.644,13.033,13.033,13.186,13.339,13.186,12.88,12.88,12.88,13.033,13.033,12.727,12.88,13.186,13.033,13.186,13.186,13.033,13.033,13.033,12.88,13.186,13.033,13.033,13.186,13.186,12.88,13.033,13.033,13.033,13.186,13.492,12.88,13.186,13.186,13.033,13.033,13.033,13.339,13.033,13.033,13.186,13.339,13.033,13.033,13.033,13.339,13.033,13.033,13.339,13.339,
18,58,58,130,51,-513.633,-516.542,-516.573,-517.252,-515.741,-519.069,-466.695,-455.083,-506.425,15.951,16.257,15.951,15.951,16.104,16.104,15.951,15.951,15.951,16.104,15.951,15.951,16.104,16.257,16.257,15.951,15.951,16.257,16.257,16.104,15.798,15.798,15.951,16.104,15.951,15.951,15.951,16.104,16.257,16.257,16.257,16.104,15.951,16.104,15.951,16.257,15.951,16.257,16.257,16.257,16.104,16.104,16.104,16.257,16.257,16.41,16.104,16.257,16.104,15.951,15.951,15.951,16.41,15.951,16.104,16.104,16.257,16.104,16.104,16.104,16.257,15.951,16.104,16.104,16.104,
19,58,58,129,51,-513.284,-516.573,-516.299,-516.35,-519.157,-518.492,-466.471,-455.321,-505.199,14.233,14.692,14.386,14.233,14.386,14.539,14.386,14.079,14.386,14.386,14.233,14.233,14.386,14.386,14.845,14.386,14.233,14.692,14.845,14.539,14.079,14.233,14.233,14.386,14.386,14.079,14.386,14.845,14.692,14.845,14.692,14.692,14.386,14.386,14.233,14.539,14.539,14.539,14.845,14.539,14.386,14.386,14.386,14.692,14.692,14.845,14.386,14.692,14.692,14.233,14.386,14.386,14.692,14.386,14.386,14.539,14.845,14.539,14.692,14.386,14.845,14.539,14.692,14.692,14.233,
20,58,58,128,51,-513.13,-515.795,-516.374,-517.669,-518.465,-518.746,-467.143,-455.472,-506.188,15.584,15.125,15.584,15.584,15.278,15.584,15.584,15.584,15.584,15.584,15.584,15.737,15.431,15.584,15.125,15.431,15.584,15.125,15.278,15.125,15.431,15.584,15.431,15.431,15.584,15.584,15.431,15.125,15.278,15.278,15.125,15.125,15.584,15.125,15.737,15.278,15.584,15.278,14.972,15.125,15.584,15.584,15.431,15.278,15.278,15.278,15.431,15.125,15.278,15.584,15.431,15.737,14.972,15.737,15.584,15.278,15.125,15.278,15.125,15.584,14.972,15.584,15.278,15.431,15.737,
21,58,58,127,51,-514.735,-517.89,-517.515,-517.659,-517.404,-518.705,-468.245,-456.468,-508.116,15.081,14.929,15.081,15.081,15.234,15.234,15.081,15.081,15.081,15.081,15.234,15.081,15.081,15.234,15.081,14.929,15.234,15.081,15.234,14.929,15.081,15.081,15.081,14.929,15.081,14.929,15.081,15.081,14.929,15.081,14.929,14.929,15.234,15.234,14.929,15.081,15.234,14.929,15.081,15.081,14.929,15.081,14.929,14.929,15.081,15.081,15.081,15.081,15.081,14.929,15.081,15.234,15.081,15.081,15.081,15.081,15.081,15.081,14.929,15.081,15.081,15.081,15.081,15.234,15.081,
22,58,58,126,51,-514.006,-517.178,-517.071,-517.754,-518.944,-519.474,-467.581,-455.665,-506.404,14.952,14.493,14.799,14.799,14.493,14.493,14.646,14.799,14.799,14.646,14.646,14.952,14.646,14.646,14.493,15.105,14.799,14.493,14.646,14.646,14.799,14.799,14.646,14.952,14.799,15.105,14.799,14.646,14.952,14.799,14.493,14.799,14.952,14.187,14.799,14.799,14.799,14.799,14.34,14.799,15.105,14.493,15.105,14.799,14.952,14.952,14.952,14.493,14.646,14.952,14.493,14.952,14.493,14.952,14.646,14.646,14.493,14.799,14.646,14.799,14.493,14.799,14.646,14.646,15.257,
23,58,58,125,51,-513.247,-516.212,-515.873,-516.303,-517.971,-517.274,-466.282,-454.892,-505.08,13.363,12.904,13.21,13.363,12.904,12.904,13.21,13.21,13.363,13.057,13.363,13.363,13.057,12.904,12.598,13.516,13.21,12.904,12.904,12.751,13.363,13.21,13.057,13.057,13.057,13.516,13.21,12.904,13.057,13.057,12.751,13.057,13.21,12.904,13.363,13.057,13.057,13.057,12.751,13.057,13.516,13.057,13.363,13.057,13.057,13.057,13.21,12.751,13.057,13.363,13.057,13.21,12.904,13.363,13.057,12.904,12.598,13.057,13.057,13.21,12.904,13.21,12.904,12.904,13.363,
24,58,58,124,51,-512.99,-516.307,-515.73,-517.127,-516.991,-517.868,-467.017,-455.371,-505.701,13.137,13.137,13.137,13.137,12.832,13.137,12.984,13.137,12.679,13.137,12.679,12.832,12.679,12.984,12.832,13.137,13.137,12.679,12.832,12.984,13.137,12.984,12.984,12.679,12.679,12.984,12.679,12.679,12.832,12.832,12.526,12.679,12.679,13.137,12.679,13.137,12.832,12.984,13.137,13.137,13.137,12.832,13.137,13.137,13.137,12.984,12.679,13.137,12.984,12.984,12.679,12.526,12.984,12.832,12.984,13.137,13.137,12.679,12.679,12.526,13.137,12.679,13.137,12.679,13.137,
