,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,
1135,58,58,134,76,-502.305,-506.345,-513.207,-511.612,-520.678,-526.613,-469.156,-456.037,-508.096,13.062,12.909,12.756,13.368,13.215,12.909,13.368,13.062,12.909,13.215,13.062,13.215,13.215,13.062,13.062,12.909,13.062,13.215,12.909,13.062,12.909,12.909,13.062,13.521,13.062,13.215,13.062,13.368,13.215,13.062,13.062,13.215,13.062,13.062,13.062,12.909,13.062,13.062,13.062,13.062,12.756,12.909,13.215,13.215,13.215,13.215,13.215,13.215,12.909,13.062,13.062,13.062,13.062,13.062,13.062,13.062,13.215,12.909,13.215,12.756,12.909,12.909,13.215,13.062,12.909,
1136,58,58,133,76,-514.888,-523.524,-520.295,-520.966,-522.691,-516.402,-460.681,-452.037,-496.238,-0.552107,-0.857845,-0.857845,-0.24637,-0.552107,-0.857845,-0.24637,-0.704976,-0.704976,-0.24637,-0.552107,-0.399239,-0.24637,-0.704976,-0.552107,-0.857845,-0.552107,-0.24637,-0.704976,-0.704976,-0.704976,-0.704976,-0.704976,0.059368,-0.552107,-0.24637,-0.552107,0.059368,-0.552107,-0.704976,-0.552107,-0.552107,-0.24637,-0.857845,-0.704976,-0.399239,-0.552107,-0.399239,-0.552107,-0.552107,-0.857845,-0.857845,-0.24637,-0.24637,-0.24637,-0.24637,-0.24637,-0.399239,-0.704976,-0.093501,-0.857845,-0.704976,-0.399239,-0.399239,-0.552107,-0.552107,-0.24637,-0.857845,-0.093501,-1.011,-0.552107,-0.857845,-0.399239,-0.704976,-0.857845,
1137,58,58,148,73,-511.674,-515.236,-514.523,-514.431,-517.745,-517.783,-464.036,-452.381,-504.61,11.498,11.192,11.651,11.192,11.039,11.345,11.039,11.345,11.345,11.498,11.498,11.498,11.345,11.498,11.345,11.498,11.345,11.345,11.498,11.345,11.345,11.039,11.498,11.498,11.039,11.498,11.345,11.192,11.498,11.651,11.651,11.498,11.345,11.192,11.345,11.192,11.651,11.192,11.804,11.345,11.498,11.192,11.192,11.192,11.345,11.804,11.345,11.192,11.498,11.345,11.039,11.498,11.651,11.192,11.345,11.651,11.345,11.039,11.192,11.345,11.498,11.192,11.039,11.804,11.192,
1138,58,58,147,73,-511.917,-514.921,-514.581,-515.27,-517.935,-518.992,-465.705,-453.638,-505.515,11.624,11.471,11.624,11.471,11.318,11.624,11.318,11.471,11.471,11.624,11.624,11.624,11.471,11.624,11.471,11.624,11.471,11.471,11.624,11.471,11.318,11.471,11.624,11.777,11.471,11.624,11.471,11.318,11.624,11.624,11.624,11.624,11.471,11.624,11.471,11.471,11.624,11.318,11.624,11.624,11.624,11.471,11.318,11.471,11.471,11.777,11.471,11.165,11.624,11.471,11.318,11.471,11.624,11.471,11.471,11.624,11.471,11.318,11.471,11.471,11.624,11.471,11.318,11.777,11.624,
1139,58,58,146,73,-511.951,-515.021,-514.5,-514.434,-517.324,-516.553,-465.737,-453.982,-505.495,11.305,11.152,11.459,10.999,10.999,11.305,11.152,11.152,11.152,11.305,11.459,11.459,11.305,11.459,10.999,11.612,11.152,11.305,11.612,11.152,10.999,10.999,11.305,11.305,11.152,11.305,11.152,11.152,11.612,11.459,11.459,11.459,11.152,11.152,11.152,11.152,11.459,10.999,11.765,11.152,11.459,11.152,11.152,11.305,11.305,11.612,11.152,10.999,11.152,11.305,10.999,11.459,11.305,11.152,11.459,11.459,11.152,10.999,11.152,11.152,11.305,11.305,10.999,11.612,11.152,
1140,58,58,145,73,-511.537,-514.305,-514.536,-514.755,-517.745,-518.548,-465.801,-454.018,-505.325,11.093,10.94,11.093,10.787,10.787,11.093,10.787,10.94,10.94,11.093,11.093,11.247,10.94,11.093,10.94,11.247,10.94,10.94,10.94,10.94,10.787,10.94,11.247,11.247,10.787,11.4,11.093,10.787,11.4,11.247,11.093,11.247,10.94,11.093,11.093,10.94,11.093,10.787,11.4,10.94,11.4,10.634,10.787,10.787,11.093,11.553,11.093,10.787,11.247,10.787,10.94,11.247,11.247,10.94,11.093,11.247,11.093,10.634,10.787,10.94,11.093,10.94,10.634,11.247,10.787,
1141,58,58,144,73,-511.811,-514.872,-514.698,-514.866,-517.97,-517.851,-465.986,-454.275,-505.577,11.097,11.097,11.097,10.791,10.639,10.791,10.791,11.403,10.791,10.944,10.944,11.097,11.097,11.097,10.944,10.639,10.944,10.791,10.791,10.791,11.403,10.944,11.097,11.556,11.403,10.944,10.791,11.097,11.097,11.097,11.097,10.639,11.25,10.944,10.639,10.944,10.791,10.639,10.791,10.791,11.097,11.403,10.791,11.25,11.097,11.403,11.097,10.944,10.791,11.25,11.25,11.25,10.791,11.097,10.791,10.944,11.25,11.097,11.25,11.097,10.944,11.097,11.25,10.791,11.097,
1142,58,58,143,73,-511.381,-514.298,-514.08,-515.128,-517.269,-518.269,-465.861,-454.194,-505.55,11.065,11.065,11.065,10.606,10.759,10.3,10.606,11.065,10.3,10.759,11.065,11.065,10.912,10.912,10.759,10.3,10.912,10.606,10.759,10.606,11.065,10.606,10.759,11.218,11.065,10.759,10.453,10.912,10.912,10.759,10.759,10.606,11.218,10.912,10.3,11.065,10.453,10.3,10.3,10.453,11.065,11.218,10.453,11.065,10.759,10.912,10.759,10.453,10.606,11.065,11.065,10.912,10.759,10.912,10.759,10.606,11.065,10.912,10.912,10.912,10.759,10.759,10.912,10.759,10.759,
1143,58,58,142,73,-511.698,-514.724,-514.545,-514.709,-518.343,-517.86,-465.865,-454.412,-506.099,11.071,11.071,11.377,11.071,11.071,11.224,11.224,11.224,11.377,11.071,11.377,11.224,10.918,11.071,11.071,11.071,11.071,11.071,11.071,11.224,11.224,11.224,11.224,11.071,11.071,11.071,11.224,11.224,11.071,10.918,11.224,11.071,11.071,11.224,11.224,11.071,11.224,11.224,11.224,11.377,11.071,11.224,11.224,11.224,11.224,11.071,11.224,11.224,11.224,11.224,11.071,11.377,11.071,11.224,11.224,11.224,11.071,11.071,11.071,11.071,11.071,11.377,11.071,11.071,11.224,
1144,58,58,141,73,-511.601,-514.864,-514.315,-514.842,-518.094,-518.784,-468.591,-456.773,-504.685,10.807,10.654,10.959,10.501,10.501,10.501,10.501,10.959,10.501,10.501,10.807,10.807,10.501,10.654,10.654,10.349,10.654,10.349,10.654,10.654,10.959,10.501,10.959,11.112,10.807,10.501,10.501,10.959,10.807,10.501,10.959,10.501,10.807,10.959,10.349,10.654,10.501,10.501,10.349,10.654,10.959,11.112,10.501,11.112,10.959,10.959,10.959,10.654,10.807,10.959,10.959,10.959,10.349,10.807,10.501,10.807,10.959,10.959,10.959,10.807,10.501,10.959,10.654,10.349,10.959,
1145,58,58,140,73,-509.571,-512.236,-520.768,-521.451,-530.899,-523.235,-463.647,-448.515,-501.957,5.144,5.297,4.991,4.991,4.531,4.685,5.144,4.685,4.991,4.991,4.991,4.838,4.991,5.297,4.991,4.991,4.838,5.297,4.991,4.991,4.685,5.451,5.297,5.144,4.991,4.991,4.531,4.838,4.991,4.991,4.991,5.451,5.144,5.297,5.451,4.531,5.144,5.144,4.991,5.297,5.297,4.838,5.144,4.531,5.297,5.144,4.991,4.685,5.144,5.144,4.991,4.991,4.838,4.685,4.838,4.838,4.838,4.838,5.144,4.838,4.685,4.991,4.838,4.991,4.991,
1146,58,58,139,73,-516.748,-525.451,-522.481,-518.075,-514.926,-513.261,-468.515,-455.556,-506.563,7.544,7.391,7.238,6.932,6.932,7.085,7.391,7.391,7.238,7.238,7.391,7.085,7.238,7.544,7.085,7.544,6.625,7.391,7.238,7.238,6.779,7.697,7.697,7.391,7.391,7.391,6.625,7.085,7.238,7.238,7.238,7.544,7.238,7.544,7.697,7.085,7.391,7.391,7.391,7.238,7.391,7.238,7.544,6.779,7.544,7.238,7.238,6.625,7.391,7.391,7.544,7.544,7.238,7.085,7.697,7.238,7.238,7.085,7.391,7.085,6.932,7.238,7.238,6.779,7.238,
1147,58,58,138,73,-516.078,-514.693,-516.535,-516.08,-523.342,-517.42,-468.885,-452.386,-507.924,9.503,9.656,9.35,9.809,9.656,9.656,9.656,9.35,9.809,9.35,9.503,9.656,9.809,9.503,9.809,9.503,9.656,9.656,9.503,9.656,9.656,9.503,9.503,9.35,9.503,9.656,9.809,9.503,9.656,9.809,9.503,9.35,9.503,9.656,9.503,9.809,9.503,9.503,9.656,9.656,9.656,9.656,9.656,9.503,9.656,9.656,9.503,9.656,9.503,9.503,9.503,9.503,9.656,9.656,9.503,9.503,9.656,9.656,9.656,9.809,9.503,9.809,9.503,9.503,9.503,
1148,58,58,137,73,-515.301,-519.253,-515.592,-513.35,-519.702,-512.862,-467.759,-454.687,-507.365,9.51,9.663,9.357,9.205,9.052,9.205,9.663,9.357,9.51,9.357,9.357,9.205,9.51,9.663,9.51,9.51,9.205,9.663,9.357,9.663,9.205,9.663,9.51,9.357,9.357,9.51,9.205,9.052,9.663,9.51,9.357,9.816,9.357,9.663,9.663,9.205,9.663,9.663,9.816,9.357,9.663,9.357,9.663,9.205,9.663,9.816,9.205,9.052,9.357,9.51,9.357,9.357,9.663,9.205,9.51,9.205,9.205,9.205,9.663,9.663,8.899,9.205,9.205,9.357,9.205,
1149,58,58,136,73,-511.074,-514.213,-513.582,-513.999,-515.56,-515.265,-465.002,-453.435,-503.521,10.653,10.806,10.959,11.111,11.264,10.653,11.264,10.653,10.653,11.111,10.806,10.653,10.653,10.806,10.959,10.959,10.959,11.111,11.111,11.111,10.653,10.959,10.653,10.501,10.653,10.959,11.264,10.653,10.806,10.806,10.653,10.959,11.111,10.653,11.111,10.959,10.806,10.806,10.959,10.959,10.653,10.501,10.959,10.653,10.653,10.501,10.501,10.806,10.806,10.653,10.653,10.959,10.959,10.959,11.111,10.806,10.501,10.653,10.806,10.501,10.959,10.653,10.653,10.959,10.653,
1150,58,58,135,73,-510.719,-513.444,-513.397,-513.992,-516.644,-517.604,-464.199,-452.833,-502.607,10.763,10.763,10.916,11.068,11.068,10.763,11.068,10.763,10.61,10.916,10.916,10.763,10.916,10.763,10.916,10.916,11.068,10.916,11.068,10.916,10.61,10.916,10.763,10.763,10.763,10.916,11.221,10.763,11.068,10.916,10.763,10.916,10.916,10.763,11.068,10.916,10.916,10.916,11.068,10.916,10.916,10.61,10.916,10.763,10.763,10.763,10.61,10.61,10.916,10.763,10.763,10.916,11.068,10.916,11.068,10.763,10.763,10.763,10.763,10.763,10.916,10.916,10.763,11.068,10.763,
1151,58,58,134,73,-510.673,-513.83,-513.643,-513.99,-516.716,-516.212,-464.137,-452.521,-502.189,10.536,10.689,10.536,10.842,10.995,10.383,10.995,10.383,10.383,10.842,10.689,10.536,10.536,10.536,10.689,10.689,10.689,10.842,10.995,10.842,10.536,10.689,10.536,10.383,10.383,10.689,10.842,10.536,10.689,10.536,10.536,10.842,10.842,10.536,10.842,10.689,10.689,10.689,10.842,10.689,10.383,10.383,10.842,10.536,10.536,10.383,10.536,10.383,10.689,10.689,10.536,10.842,10.842,10.842,10.995,10.689,10.383,10.536,10.689,10.536,10.689,10.689,10.383,10.842,10.536,
1152,58,58,133,73,-510.547,-513.302,-513.174,-514.216,-516.225,-517.269,-464.277,-452.412,-502.282,10.571,10.724,10.571,11.03,11.03,10.724,10.877,10.571,10.571,10.877,10.571,10.571,10.571,10.418,10.877,10.724,10.724,10.877,11.03,10.877,10.418,10.877,10.571,10.418,10.418,10.724,10.877,10.571,10.724,10.571,10.571,10.877,10.724,10.724,10.877,10.724,10.877,10.877,10.724,10.571,10.571,10.418,11.03,10.571,10.724,10.418,10.571,10.571,10.724,10.571,10.571,10.724,10.877,11.03,11.03,10.571,10.571,10.571,10.724,10.418,10.724,10.724,10.571,10.877,10.724,
1153,58,58,148,74,-511.856,-514.672,-515.31,-516.053,-517.375,-518.297,-464.98,-452.96,-503.66,12.373,12.22,12.373,12.067,12.22,11.762,11.914,12.22,12.22,12.373,12.373,12.067,12.22,12.22,12.22,12.526,12.067,12.067,12.067,12.067,12.373,12.067,12.067,11.762,11.914,11.609,12.22,11.762,11.914,12.526,11.914,12.526,12.22,12.067,12.067,11.914,12.067,12.067,12.22,11.914,12.067,12.22,11.914,11.914,12.067,11.914,12.373,11.914,11.914,12.526,12.526,12.526,11.914,12.22,12.373,11.914,12.22,12.22,12.526,12.373,11.914,12.22,11.762,12.067,12.373,
1154,58,58,147,74,-512.45,-515.711,-515.611,-515.732,-518.233,-517.583,-465.984,-453.964,-503.954,11.81,11.963,11.963,11.81,11.81,11.352,11.657,11.81,11.963,12.116,11.81,11.963,11.81,11.81,11.81,11.963,11.963,11.81,11.81,11.657,11.963,11.963,11.81,11.504,11.504,11.504,11.963,11.504,11.657,11.963,11.504,11.81,11.657,11.504,11.657,11.657,11.657,11.963,11.81,11.657,11.657,11.81,11.657,11.504,11.963,11.657,11.81,11.352,11.504,11.963,12.116,11.963,11.504,11.81,12.269,11.504,11.963,11.963,12.116,11.963,11.81,11.81,11.657,11.963,12.116,
1155,58,58,146,74,-512.106,-515.321,-515.502,-516.333,-516.2,-517.999,-466.542,-454.316,-504.891,12.124,12.124,11.971,11.818,11.971,11.818,12.124,12.124,12.124,12.277,12.124,12.124,11.971,12.124,12.124,12.277,11.971,11.818,11.971,11.971,11.971,12.277,12.124,11.971,12.124,11.971,12.124,11.818,11.818,12.124,11.818,12.124,12.124,11.971,11.971,11.818,11.971,11.971,11.971,11.971,11.971,12.124,11.971,11.818,11.971,12.124,11.971,11.818,11.818,12.124,12.277,12.277,11.971,12.124,12.277,11.971,12.277,12.124,12.124,11.971,12.124,11.971,11.971,11.971,12.124,
1156,58,58,145,74,-512.52,-515.656,-515.686,-515.584,-517.934,-517.727,-466.318,-454.403,-504.127,12.547,12.394,12.547,12.241,12.241,11.935,12.088,12.547,12.394,12.547,12.547,12.241,12.241,12.547,12.394,12.701,12.241,12.241,12.088,12.088,12.547,12.241,12.241,11.935,12.088,11.935,12.394,11.935,11.781,12.701,11.935,12.394,12.394,12.088,11.935,12.088,12.088,12.241,12.241,12.088,12.241,12.241,12.088,12.088,12.241,12.088,12.394,12.088,11.781,12.547,12.547,12.547,11.935,12.241,12.547,12.088,12.241,12.547,12.547,12.394,12.241,12.241,11.935,12.241,12.394,
1157,58,58,144,74,-512.06,-515.183,-514.845,-515.987,-517.548,-517.981,-465.765,-454.553,-503.738,10.844,10.997,10.691,11.303,10.691,11.15,10.997,10.691,10.997,10.997,10.844,11.15,10.844,10.844,10.844,10.691,11.15,11.15,11.15,11.15,10.691,10.691,10.844,11.15,11.15,11.15,10.538,11.15,11.15,10.691,10.997,10.691,10.844,10.997,11.15,11.303,10.997,11.303,10.844,11.15,11.303,10.538,11.15,11.15,11.15,10.844,10.844,10.997,11.15,10.691,10.844,10.844,11.15,10.691,10.844,11.15,10.691,11.15,10.844,10.844,10.844,10.997,11.303,11.15,10.691,
1158,58,58,143,74,-511.824,-514.825,-515.073,-515.216,-516.182,-515.65,-465.801,-454.024,-503.992,10.959,10.959,10.959,10.806,10.959,10.654,10.806,10.654,10.654,10.959,10.959,10.959,10.806,10.654,10.806,10.959,10.959,11.112,10.806,10.654,10.654,10.654,10.806,10.654,10.806,10.806,10.959,10.806,10.806,10.959,10.654,10.806,10.806,10.501,10.806,10.959,10.959,10.959,10.654,10.959,10.806,10.654,10.806,10.806,10.806,10.654,10.959,10.806,10.806,10.959,10.959,10.959,10.806,10.959,10.959,10.654,10.806,10.959,10.959,10.959,10.654,10.959,10.806,10.959,10.806,
1159,58,58,142,74,-511.717,-514.888,-514.931,-515.92,-515.273,-515.803,-465.288,-453.525,-503.5,10.366,10.672,10.366,10.672,10.366,10.825,10.978,10.825,10.825,10.672,10.519,10.825,10.825,10.825,10.672,10.672,10.519,10.825,10.978,10.978,10.825,10.825,10.519,10.825,10.825,11.131,10.214,10.825,10.978,10.519,10.825,10.366,10.672,11.131,10.978,11.131,10.672,11.131,10.825,10.825,10.978,10.519,10.672,10.672,10.825,10.672,10.672,10.672,10.978,10.672,10.672,10.519,10.978,10.672,10.825,10.978,10.519,11.131,10.672,10.366,10.978,10.672,10.978,10.825,10.672,
1160,58,58,141,74,-511.72,-514.99,-514.955,-515.538,-517.512,-517.427,-467.199,-455.503,-503.705,10.609,10.762,10.456,10.609,10.456,10.915,10.915,10.609,10.762,10.609,10.456,10.456,10.609,10.762,10.609,10.609,10.456,10.762,10.915,10.762,10.762,10.762,10.609,11.068,10.915,11.068,10.456,11.068,10.915,10.15,10.915,10.303,10.609,10.915,10.915,10.915,10.609,10.762,10.915,10.609,10.915,10.456,10.762,10.762,10.762,10.762,10.609,10.915,10.915,10.456,10.609,10.456,11.068,10.609,10.609,11.221,10.609,10.915,10.456,10.456,10.915,10.609,10.915,10.762,10.303,
1161,58,58,140,74,-511.307,-514.624,-514.507,-515.597,-516.991,-517.868,-465.794,-453.841,-503.254,10.537,10.996,10.69,10.996,10.996,10.843,11.149,10.996,10.996,10.996,10.537,10.537,11.149,10.69,10.843,10.537,10.996,10.996,10.843,10.843,10.843,10.996,10.537,10.69,11.149,10.384,10.843,10.996,10.384,10.537,10.537,10.537,10.996,10.996,10.843,10.843,11.149,11.149,10.843,10.537,10.843,10.996,10.996,10.996,10.843,10.537,10.69,10.843,10.384,10.996,10.996,10.69,10.384,10.69,10.69,10.384,10.537,10.843,10.69,10.843,10.843,10.69,10.69,10.384,10.996,
1162,58,58,139,74,-511.479,-514.702,-514.282,-514.686,-516.771,-516.467,-465.059,-453.298,-502.284,10.547,10.547,10.547,10.547,10.547,10.7,10.547,10.7,10.7,10.7,10.547,10.7,10.547,10.547,10.394,10.7,10.547,10.547,10.547,10.394,10.547,10.547,10.7,10.547,10.547,10.394,10.547,10.547,10.547,10.394,10.547,10.547,10.547,10.547,10.394,10.547,10.7,10.547,10.7,10.547,10.547,10.547,10.547,10.547,10.547,10.7,10.547,10.547,10.394,10.7,10.394,10.547,10.547,10.547,10.547,10.7,10.547,10.547,10.394,10.394,10.7,10.394,10.547,10.394,10.547,
1163,58,58,138,74,-511.13,-513.767,-514.142,-515.117,-516.418,-517.07,-464.681,-452.81,-501.362,10.265,10.418,10.418,10.418,10.418,10.265,10.418,10.418,10.265,10.265,10.418,9.959,10.57,10.418,10.418,9.959,10.418,10.418,10.57,10.418,10.265,10.418,10.112,10.112,10.57,10.112,10.112,10.418,10.112,9.806,10.265,9.959,10.265,10.57,10.57,10.112,10.418,10.265,10.265,10.265,10.418,10.418,10.418,10.265,10.265,10.112,9.959,10.265,9.806,10.265,10.57,9.959,10.112,9.959,10.265,10.112,10.265,10.418,10.418,10.723,10.265,10.112,10.418,10.112,10.418,
1164,58,58,137,74,-510.931,-514.344,-514.376,-514.94,-516.718,-516.199,-464.332,-452.457,-502.426,10.097,10.402,10.25,10.555,10.402,10.097,10.402,10.25,10.25,10.097,10.097,9.944,10.402,9.944,10.402,10.097,10.402,10.402,10.25,10.25,10.402,10.555,10.097,10.25,10.555,10.097,10.097,10.555,9.944,9.944,10.097,9.944,10.25,10.25,10.402,10.097,10.25,10.402,10.097,10.097,10.097,10.402,10.402,10.25,10.25,9.944,9.944,10.25,9.944,10.402,10.402,10.097,9.944,10.25,10.097,10.097,10.25,10.555,10.402,10.402,10.25,10.097,10.402,9.944,10.402,
1165,58,58,136,74,-520.962,-521.588,-525.827,-516.504,-522.802,-523.371,-471.299,-459.383,-509.125,7.144,6.838,6.991,7.144,7.45,7.297,6.991,7.297,6.991,6.838,6.991,7.45,7.297,6.838,7.297,6.838,6.991,6.531,6.991,6.991,7.297,6.838,6.991,6.684,7.144,6.991,7.297,7.144,6.838,6.991,7.144,6.838,7.144,6.684,6.684,7.45,6.991,7.144,6.838,6.684,6.684,7.297,6.991,7.45,6.838,6.838,7.144,7.297,6.838,6.991,6.838,7.144,6.991,7.297,7.297,7.297,7.45,7.144,6.684,7.144,7.45,7.297,7.144,6.991,6.991,
1166,58,58,135,74,-525.491,-521.274,-522.14,-531.021,-500.143,-503.991,-461.342,-451.17,-498.819,-0.500495,-0.960439,-0.807124,-0.500495,-0.347181,-0.500495,-0.65381,-0.65381,-0.807124,-0.807124,-0.960439,-0.347181,-0.500495,-0.807124,-0.65381,-0.960439,-0.960439,-0.960439,-0.65381,-0.807124,-0.807124,-0.960439,-0.960439,-1.114,-0.65381,-0.807124,-0.500495,-0.807124,-0.807124,-0.500495,-0.807124,-1.114,-0.807124,-1.114,-1.114,-0.347181,-0.65381,-0.960439,-0.500495,-0.807124,-0.960439,-0.347181,-0.807124,-0.500495,-0.807124,-0.960439,-0.65381,-0.807124,-0.960439,-0.807124,-0.807124,-0.65381,-0.65381,-0.65381,-0.347181,-0.65381,-0.500495,-0.500495,-0.807124,-0.500495,-0.500495,-0.500495,-0.65381,-0.960439,-0.65381,
1167,58,58,134,74,-502.305,-506.497,-513.513,-511.306,-520.678,-527.072,-469.463,-455.883,-508.402,13.368,13.062,13.215,13.521,13.521,13.521,13.215,13.215,13.368,13.368,13.215,13.521,13.521,13.215,13.215,13.215,13.215,13.215,13.368,13.215,13.368,13.368,13.215,13.062,13.368,13.215,13.368,13.215,13.215,13.368,13.368,13.062,13.215,13.062,13.215,13.521,13.368,13.368,13.368,13.368,13.368,13.521,13.062,13.368,13.062,13.215,13.368,13.215,13.215,13.368,13.215,13.215,13.368,13.368,13.673,13.521,13.521,13.521,13.062,13.521,13.521,13.521,13.521,13.215,13.368,
1168,58,58,133,74,-514.888,-523.831,-521.059,-520.813,-521.773,-515.331,-458.545,-449.443,-497.001,1.894,1.282,1.741,2.047,2.047,1.894,1.741,1.894,1.894,1.588,1.588,2.2,2.2,1.435,1.894,1.588,1.741,1.435,1.588,1.588,2.047,1.741,1.435,1.435,1.894,1.741,1.894,1.741,1.435,1.894,1.741,1.435,1.588,1.282,1.435,2.2,1.741,1.588,1.741,1.588,1.588,2.047,1.588,2.047,1.588,1.588,2.047,2.047,1.741,1.894,1.588,1.894,1.894,1.894,2.047,2.047,2.352,1.894,1.435,1.894,1.894,2.2,2.047,1.588,1.894,
1169,58,58,148,71,-511.981,-514.929,-514.676,-514.89,-517.898,-517.019,-464.036,-452.535,-504.764,11.651,11.804,11.651,11.804,11.651,12.11,11.957,11.651,11.804,11.651,12.11,11.651,11.651,11.957,12.11,11.957,11.804,11.804,11.804,11.651,12.11,11.804,12.11,12.11,11.804,11.651,11.957,11.957,12.11,12.11,11.804,11.651,11.651,11.957,11.804,12.11,11.651,11.804,12.11,11.957,12.11,11.651,11.804,12.11,11.804,11.804,11.804,11.804,12.11,11.804,11.651,11.804,11.957,11.651,12.263,11.651,11.651,11.957,12.263,12.11,12.11,11.957,11.804,11.651,11.957,
1170,58,58,147,71,-512.071,-515.074,-514.734,-515.576,-515.033,-518.228,-466.012,-454.097,-504.596,11.777,11.624,11.624,11.624,11.624,11.777,11.624,11.624,11.624,11.777,11.93,11.471,11.624,11.777,11.777,11.777,11.624,11.624,11.624,11.471,11.777,11.624,11.93,11.624,11.624,11.624,11.777,11.624,11.777,11.93,11.624,11.624,11.624,11.624,11.624,11.777,11.624,11.624,11.777,11.624,11.93,11.624,11.624,11.777,11.624,11.777,11.624,11.624,11.777,11.624,11.624,11.624,11.777,11.471,11.93,11.624,11.624,11.624,11.93,11.624,11.93,11.624,11.93,11.624,11.624,
1171,58,58,146,71,-512.409,-515.48,-514.959,-515.046,-518.549,-518.085,-465.737,-454.135,-504.73,11.765,11.612,11.765,11.765,11.612,12.071,11.459,11.612,11.612,11.612,12.224,11.612,11.612,11.918,11.765,11.918,11.459,11.765,11.612,11.765,11.765,11.765,12.071,11.918,11.612,11.918,12.071,11.918,11.918,12.071,11.765,11.765,11.765,11.918,11.612,11.918,11.765,11.612,12.071,11.918,11.918,11.612,11.765,11.918,11.765,11.612,11.765,11.612,12.224,11.765,11.765,11.612,11.612,11.459,11.918,11.612,11.765,11.612,12.071,11.765,12.071,11.612,11.765,11.612,11.765,
1172,58,58,145,71,-511.843,-514.611,-514.536,-514.908,-516.98,-517.63,-465.954,-454.018,-505.478,11.4,11.4,11.553,11.4,11.4,11.706,11.4,11.4,11.247,11.4,12.012,11.247,11.247,11.706,11.553,11.553,11.4,11.553,11.4,11.4,11.553,11.4,11.859,11.706,11.4,11.553,11.706,11.706,11.706,12.012,11.706,11.4,11.4,11.706,11.553,11.859,11.4,11.4,12.012,11.706,11.706,11.553,11.553,11.859,11.706,11.4,11.553,11.553,11.706,11.553,11.4,11.4,11.553,11.247,11.859,11.247,11.247,11.553,11.859,11.706,12.012,11.4,11.4,11.4,11.706,
1173,58,58,144,71,-512.117,-515.025,-515.004,-514.56,-517.051,-516.625,-465.68,-453.969,-504.812,11.403,11.25,11.556,10.944,10.791,11.097,11.097,11.097,11.403,11.097,11.097,10.791,10.944,11.403,10.791,11.403,10.944,10.944,11.097,11.097,11.097,11.097,11.403,11.097,11.25,11.403,11.25,11.097,10.944,11.403,11.403,11.097,10.791,11.097,11.097,11.097,11.25,11.708,11.403,11.097,11.556,11.097,11.25,10.944,11.25,11.556,11.097,11.25,11.25,11.25,11.097,10.791,10.791,11.708,11.25,11.25,11.25,11.403,10.791,11.097,11.403,11.25,11.097,11.097,11.25,
1174,58,58,143,71,-511.84,-514.756,-514.844,-514.823,-517.574,-518.269,-466.014,-453.889,-505.855,11.524,11.218,11.218,10.912,10.759,11.218,10.912,11.065,11.218,10.912,11.371,10.759,10.912,11.371,10.759,11.524,11.065,11.371,11.218,11.218,11.065,10.912,11.065,11.065,11.065,11.218,11.065,10.759,11.065,11.218,11.371,11.065,10.912,11.218,11.065,11.371,11.371,11.677,11.371,11.065,11.524,11.371,10.759,11.218,11.218,11.371,10.912,11.065,11.218,11.065,11.065,10.912,10.912,11.524,11.371,11.065,11.218,11.371,10.606,11.065,11.371,11.218,11.065,11.065,11.218,
1175,58,58,142,71,-511.851,-514.571,-514.545,-514.862,-515.592,-516.638,-466.018,-453.8,-504.263,11.377,11.377,11.377,11.377,11.53,11.53,11.224,11.53,11.377,11.377,11.377,11.53,11.377,11.377,11.53,11.377,11.377,11.377,11.53,11.53,11.53,11.53,11.377,11.224,11.377,11.53,11.377,11.53,11.53,11.53,11.377,11.377,11.53,11.53,11.53,11.53,11.53,11.377,11.377,11.53,11.224,11.53,11.224,11.377,11.377,11.377,11.224,11.224,11.53,11.53,11.377,11.53,11.377,11.377,11.224,11.377,11.224,11.224,11.377,11.53,11.377,11.377,11.53,11.224,11.53,
